component__best_path,component__bridge_coverage,component__coherence,component__coverage,component__fragility,component__redundancy,component__score_raw,dag_path,edge__alignment_mean,edge__edge_conf_mean,edge__edge_conf_raw_mean,edge__n_edges,edge__role_prior_mean,edge__synergy_mean,edge__trust_parent_mean,graph_score,k,m,n_conclusion,n_edges,n_hypothesis,n_nodes,node_scores_path,paper_id,paper_key,rating,sheet,study_id,study_short_name,success,title,variant_id,variant_kind,variant_name
0.0,0.0,0.0,0.0,0.0,0.0,0.0,dag/dag_k002.json,nan,nan,nan,0.0,nan,nan,nan,0.1500000007,2,6,0,0,1,1,node_scores/dag_k002/node_scores_m006.json,000,Economics__000__co-integration-and-error-correction-representation-estimation-and-testing,Good,Economics,4,propagation_ablation,1,"Co-Integration and Error Correction: Representation, Estimation, and Testing",agg_softmin,penalty_mode,Propagation aggregate = softmin
0.0,0.0,0.0,0.0,0.0,0.0,0.0,dag/dag_k002.json,nan,nan,nan,0.0,nan,nan,nan,0.1500000007,2,7,0,0,1,1,node_scores/dag_k002/node_scores_m007.json,000,Economics__000__co-integration-and-error-correction-representation-estimation-and-testing,Good,Economics,4,propagation_ablation,1,"Co-Integration and Error Correction: Representation, Estimation, and Testing",agg_softmin,penalty_mode,Propagation aggregate = softmin
0.39307066740517516,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.2645637369876912,1.0,0.5335831063031401,dag/dag_k003.json,0.0817954914759426,0.4564966468307902,0.4850843110523561,7.0,0.5714285714285714,0.49952380952380954,0.28763581999732246,0.6835831059359738,3,0,2,7,1,6,node_scores/dag_k003/node_scores_m000.json,000,Economics__000__co-integration-and-error-correction-representation-estimation-and-testing,Good,Economics,4,propagation_ablation,1,"Co-Integration and Error Correction: Representation, Estimation, and Testing",agg_softmin,penalty_mode,Propagation aggregate = softmin
0.3799719851479756,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.26416436114535696,1.0,0.5303683421151903,dag/dag_k003.json,0.0817954914759426,0.43914824531007535,0.4666319300999752,7.0,0.5714285714285714,0.4719047619047619,0.2816242377964897,0.6803683417544536,3,1,2,7,1,6,node_scores/dag_k003/node_scores_m001.json,000,Economics__000__co-integration-and-error-correction-representation-estimation-and-testing,Good,Economics,4,propagation_ablation,1,"Co-Integration and Error Correction: Representation, Estimation, and Testing",agg_softmin,penalty_mode,Propagation aggregate = softmin
0.3744144624938957,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.25891922508269966,1.0,0.529765731861069,dag/dag_k003.json,0.0817954914759426,0.4637413506766145,0.4921985967666419,7.0,0.5714285714285714,0.5105238095238095,0.29849382203265923,0.6797657315015375,3,2,2,7,1,6,node_scores/dag_k003/node_scores_m002.json,000,Economics__000__co-integration-and-error-correction-representation-estimation-and-testing,Good,Economics,4,propagation_ablation,1,"Co-Integration and Error Correction: Representation, Estimation, and Testing",agg_softmin,penalty_mode,Propagation aggregate = softmin
0.4129954980353604,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.2574069218930604,1.0,0.539637836224881,dag/dag_k003.json,0.0817954914759426,0.4772554566427081,0.506889072957118,7.0,0.5714285714285714,0.5174047619047619,0.2934700856271079,0.6896378358456053,3,3,2,7,1,6,node_scores/dag_k003/node_scores_m003.json,000,Economics__000__co-integration-and-error-correction-representation-estimation-and-testing,Good,Economics,4,propagation_ablation,1,"Co-Integration and Error Correction: Representation, Estimation, and Testing",agg_softmin,penalty_mode,Propagation aggregate = softmin
0.4201800774395312,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.25857309935267664,1.0,0.5412590544569813,dag/dag_k003.json,0.0817954914759426,0.4758640410494415,0.5057509777190228,7.0,0.5714285714285714,0.5232142857142857,0.28832373563435215,0.6912590540744632,3,4,2,7,1,6,node_scores/dag_k003/node_scores_m004.json,000,Economics__000__co-integration-and-error-correction-representation-estimation-and-testing,Good,Economics,4,propagation_ablation,1,"Co-Integration and Error Correction: Representation, Estimation, and Testing",agg_softmin,penalty_mode,Propagation aggregate = softmin
0.3525001719879963,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.26328573429222146,1.0,0.5236321828531659,dag/dag_k003.json,0.0817954914759426,0.4489024574037053,0.47672240629045143,7.0,0.5714285714285714,0.4735,0.28813739723586496,0.6736321825059015,3,5,2,7,1,6,node_scores/dag_k003/node_scores_m005.json,000,Economics__000__co-integration-and-error-correction-representation-estimation-and-testing,Good,Economics,4,propagation_ablation,1,"Co-Integration and Error Correction: Representation, Estimation, and Testing",agg_softmin,penalty_mode,Propagation aggregate = softmin
0.38673315834467753,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.26465958718985144,1.0,0.5319843515076917,dag/dag_k003.json,0.0817954914759426,0.45833767960709265,0.48721288248092753,7.0,0.5714285714285714,0.4740238095238095,0.2835125698880004,0.681984351143723,3,6,2,7,1,6,node_scores/dag_k003/node_scores_m006.json,000,Economics__000__co-integration-and-error-correction-representation-estimation-and-testing,Good,Economics,4,propagation_ablation,1,"Co-Integration and Error Correction: Representation, Estimation, and Testing",agg_softmin,penalty_mode,Propagation aggregate = softmin
0.3920063666837102,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.25990435216045765,1.0,0.5340159388468589,dag/dag_k003.json,0.0817954914759426,0.4596505741496553,0.48856050152854663,7.0,0.5714285714285714,0.511904761904762,0.2823625554637329,0.684015938478827,3,7,2,7,1,6,node_scores/dag_k003/node_scores_m007.json,000,Economics__000__co-integration-and-error-correction-representation-estimation-and-testing,Good,Economics,4,propagation_ablation,1,"Co-Integration and Error Correction: Representation, Estimation, and Testing",agg_softmin,penalty_mode,Propagation aggregate = softmin
0.38045683814601283,0.5,0.0,0.0,0.6195431618539872,0.3333333333333333,0.17718273525840517,dag/dag_k004.json,0.04928989139515455,0.44990903358863205,0.4742623224728488,3.0,0.5,0.49833333333333335,0.3828614035087719,0.32718273560403965,4,0,1,3,1,4,node_scores/dag_k004/node_scores_m000.json,000,Economics__000__co-integration-and-error-correction-representation-estimation-and-testing,Good,Economics,4,propagation_ablation,1,"Co-Integration and Error Correction: Representation, Estimation, and Testing",agg_softmin,penalty_mode,Propagation aggregate = softmin
