study_id,study_short_name,variant_id,variant_name,variant_kind,level,n_rows,n_success,graph_score_mean,graph_score_std,spearman_good_neutral_bad,auc_good_vs_bad
3,edge_feature_ablation,base,Baseline,baseline,edge-feature,8,8,0.7253042307871419,0.01357632970542517,nan,0.5
3,edge_feature_ablation,zero_role_prior,Zero edge feature weight: role_prior,edge_weight_zero,edge-feature,8,8,0.6655816915223381,0.0016366082116996228,nan,0.5
3,edge_feature_ablation,zero_alignment,Zero edge feature weight: alignment,edge_weight_zero,edge-feature,8,8,0.7146538596038513,0.01356176223721421,nan,0.5
3,edge_feature_ablation,zero_synergy,Zero edge feature weight: synergy,edge_weight_zero,edge-feature,8,8,0.6786412690973433,0.011056658934895526,nan,0.5
3,edge_feature_ablation,zero_parent_quality,Zero edge feature weight: parent_quality,edge_weight_zero,edge-feature,8,8,0.674857489336056,0.013815302366412156,nan,0.5
3,edge_feature_ablation,zero_child_quality,Zero edge feature weight: child_quality,edge_weight_zero,edge-feature,8,8,0.6739787108637074,0.013813035610991429,nan,0.5
3,edge_feature_ablation,uniform_role_prior_05,Uniform role prior = 0.5,uniform_role_prior,edge-feature,8,8,0.7133164897942068,0.0016300357204001256,nan,0.5
3,edge_feature_ablation,uniform_role_prior_00,Uniform role prior = 0.0,uniform_role_prior,edge-feature,8,8,0.5655816917223381,0.001636608211699658,nan,0.5
3,edge_feature_ablation,no_pair_synergy_table,Disable pair-specific synergy table,empty_pair_synergy,edge-feature,8,8,0.7221692180279312,0.010440933866902176,nan,0.5
