study_id,study_short_name,variant_id,variant_name,variant_kind,n_papers,median_between_over_total,median_within_over_total,mean_between_over_total,mean_within_over_total
6,final_stability_variance,base_variance_decomp,Hierarchical variance decomposition,variance_decomposition,104,0.999424497670401,0.000575502329598996,0.9982663112209715,0.001733688779028556
6,final_stability_variance,dag_vs_node_stability,DAG-vs-node resample stability summary,resample_stability,104,,,,
